url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/phong-tang-tret-25m2-hem-451-17to-hien-thanh-38tr-thang-co-may-lanh-gio-tu-do-o-duoc-2-4-nguoi-wifi-free-pr153434.html	 451/17 Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh	 3.5 triệu/tháng	 25	 04/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Dịch vụ vệ sinh']	 35 đồng/Kwh	 25 đồng/m3	 	 Thỏa thuận	 
https://bds123.vn/phong-15m2-cho-thue-gio-tu-do-hem-339-to-hien-thanh-may-lanh-khong-chung-chuo-duoc-2-5-nguoi-wifi-free-pr126731.html	 Phường 13, Quận 10, Hồ Chí Minh	 4.3 triệu/tháng	 32	 04/12/2019	 01/12/2019	 	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Dịch vụ vệ sinh', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 100.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-can-ho-studio-rat-dep-86-truong-quyen-p6-quan-3-sat-cong-vien-le-van-tam-pr138707.html	 7A/9 Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh	 4.3 triệu/tháng	 30	 06/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Điều hòa', 'Bếp', 'Tủ quần áo', 'Sàn gỗ', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 2.500 đồng/Kwh	 20.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/phong-cho-thue-gio-giac-tu-doco-may-lanh-khong-chung-chu-15m2-2-3-nguoi-wifi-free-26tr-th-pr132434.html	 451/17 Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh	 3.9 triệu/tháng	 25	 04/12/2019	 01/12/2019	 	 	 ['Không chung chủ', 'Có camera', 'Máy giặt', 'Dịch vụ vệ sinh']	 3.500 đồng/Kwh	 25.000 đồng/m3	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-q10-gio-tu-do-co-may-lanh-25tr-thang-42-17-ho-thi-ky-pr122701.html	 42/17 Đường Hồ Thị Kỷ, Phường 1, Quận 10, Hồ Chí Minh	 2.5 triệu/tháng	 18	 04/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Dịch vụ vệ sinh']	 3.500 đồng/Kwh	 1.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-q10-gan-bv-115-gia-3-trieu-pr130635.html	 497/12 Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh	 3 triệu/tháng	 30	 03/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/nha-tro-cho-thue-236-hoa-hung-quan-10-gia-re-o-duoc-tu-4-5-nguoi-co-ban-cong-rieng-biet-pr142463.html	 236 Đường Hòa Hưng, Phường 13, Quận 10, Hồ Chí Minh	 3.5 triệu/tháng	 30	 05/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70 đồng/người	 60 đồng	 Thỏa thuận	 
https://bds123.vn/ky-tuc-xa-nhieu-tien-nghi-cmt8-q10-gia-chi-tu-15tr-thang-pr157917.html	 493/72 Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh	 1.5 triệu/tháng	 30	 01/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/ky-tuc-xa-giuong-tang-tron-goi-436-59-cmt8-quan-10-pr138682.html	 436/57 Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh	 1.5 triệu/tháng	 26	 04/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 Sau 24h
https://bds123.vn/ky-tuc-xa-tien-nghi-full-noi-that-may-lanh-gio-giac-tu-do-duong-thanh-thai-q10-pr155085.html	 Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh	 1.6 triệu/tháng	 25	 02/12/2019	 30/11/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
