url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/phong-tro-gia-re-cho-sinh-vien-pr135575.html	 77/1A Đường Nguyễn Thi, Phường 13, Quận 5, Hồ Chí Minh	 1.3 triệu/tháng	 10	 02/12/2019	 30/11/2019	 ['Sinh viên']	 	 ['Internet tốc độ cao', 'Bếp']	 	 60.000 đồng/người	 70.000 đồng	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-full-noi-that-duong-tran-hung-dao-quan-5-pr158660.html	 488 Đường Trần Hưng Đạo, Phường 2, Quận 5, Hồ Chí Minh	 4.5 triệu/tháng	 18	 04/12/2019	 30/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-gia-re-trung-tam-quan-5-can-cho-thue-pr155289.html	 19 Đường Nguyễn Trãi, Phường 2, Quận 5, Hồ Chí Minh	 Thỏa thuận	 25	 30/11/2019	 30/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên']	 	 	 	 Thỏa thuận	 
https://bds123.vn/ky-tuc-xa-may-lanh-va-tien-nghi-gia-sieu-re-duong-cao-dat-quan-5-pr156427.html	 239 Đường Cao Đạt, Phường 1, Quận 5, Hồ Chí Minh	 700.000 đồng/tháng	 25	 30/11/2019	 29/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 Sau 24h
https://bds123.vn/giuong-tang-nu-ngay-trung-tam-quan-1-va-5-pr132246.html	 290 Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh	 2.5 triệu/tháng	 82	 23/11/2019	 23/11/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Gym', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-quan-5-gio-giac-tu-do-pr141631.html	 19/90 Đường Nguyễn Trãi, Phường 2, Quận 5, Hồ Chí Minh	 4.5 triệu/tháng	 18	 15/11/2019	 15/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Chỗ để xe']	 4.000 đồng/Kwh	 100 đồng/người	 50 đồng	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-tran-phu-q5-pr150184.html	 165/23 Đường Trần Phú, Phường 4, Quận 5, Hồ Chí Minh	 4 triệu/tháng	 20	 07/11/2019	 07/11/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Có cửa sổ', 'Internet tốc độ cao', 'Bếp', 'Giường ngủ', 'Bàn làm việc', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 80.000 đồng/người	 100.000 đồng	 Thỏa thuận	 Sau 24h
https://bds123.vn/cho-thue-phong-tro-nguyen-lau-q5-pr149317.html	 68 Đường Trần Tuấn Khải, Phường 5, Quận 5, Hồ Chí Minh	 8 triệu/tháng	 50	 05/11/2019	 04/11/2019	 	 	 ['Không chung chủ', 'Internet tốc độ cao']	 	 	 	 Thỏa thuận	 
https://bds123.vn/ktx-gio-giac-tu-do-gan-djai-hoc-y-duoc-dai-hoc-kinh-te-co-so-b-pr149564.html	 60/12 Đường Phước Hưng, Phường 8, Quận 5, Hồ Chí Minh	 1.4 triệu/tháng	 40	 25/10/2019	 24/10/2019	 ['Sinh viên']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Công viên', 'Ban công']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-nu-sinh-vien-thue-phong-tro-quan-5-pr151258.html	 Đường Trần Tuấn Khải, Phường 5, Quận 5, Hồ Chí Minh	 2.6 triệu/tháng	 12	 20/10/2019	 20/10/2019	 ['Sinh viên']	 Nữ	 ['Có cửa sổ', 'Có camera', 'Điều hòa', 'Internet tốc độ cao']	 3.000 đồng/Kwh	 60.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
