url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/can-ho-mini-full-noi-that-khu-dan-cu-trung-son-ke-quan-7-pr158669.html	 55 Đường số 6, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh	 3.9 triệu/tháng	 16	 05/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/khu-nha-tro-e4-80c-xom-giua-tan-nhut-binh-chanh-pr157517.html	 E4/80C Đường Tân Long, Xã Tân Nhựt, Huyện Bình Chánh, Hồ Chí Minh	 1.5 triệu/tháng	 16	 25/11/2019	 25/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Bếp', 'Chỗ để xe', 'Công viên', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-cao-cap-moi-xay-view-song-co-gac-thoang-mat-tan-liem-binh-chanh-pr143359.html	 C2/61A Đường Tân Liêm, Xã Phong Phú, Huyện Bình Chánh, Hồ Chí Minh	 1.8 triệu/tháng	 25	 15/09/2019	 14/09/2019	 	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/nha-cho-thue-nguyen-can-tran-van-giau-1tr8-dien-nuoc-gia-nha-nuoc-pr141135.html	 2C74/3 Đường Liên ấp 2-3, Xã Phạm Văn Hai, Huyện Bình Chánh, Hồ Chí Minh	 1.8 triệu/tháng	 30	 03/08/2019	 29/07/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-can-ho-mini-co-gac-lung-du-noi-that-o-duong-so-5pham-hungke-ngan-hang-vietcombank-pr137684.html	 Đường số 5, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh	 5.5 triệu/tháng	 35	 23/07/2019	 18/07/2019	 ['Tất cả']	 	 ['Có gác', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Gym', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 4.000 đồng/Kwh	 100.000 đồng/người	 50.000 đồng	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-cao-cap-dang-can-ho-mini-day-du-tien-nghi-pr137233.html	 96 Đường số 9, Xã Phong Phú, Huyện Bình Chánh, Hồ Chí Minh	 3.8 triệu/tháng	 40	 27/06/2019	 22/06/2019	 ['Gia đình']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.200 đồng/Kwh	 100.000 đồng/người	 50.000 đồng	 Thỏa thuận	 
https://bds123.vn/can-tim-nu-thue-mot-phong-trong-can-ho-2-phong-ngu-pr130593.html	 Chung cư Mizuki Park Đường Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh	 2 triệu/tháng	 52	 23/04/2019	 18/04/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Có cửa sổ', 'Có bảo vệ', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Sàn gỗ', 'Bàn làm việc', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 3.000 đồng/Kwh	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-nha-tro-moi-rong-rai-o-vinh-loc-b-binh-chanh-pr129861.html	 F4/21E ấp 6A Đường Lại Hùng Cường, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh	 2.2 triệu/tháng	 36	 16/04/2019	 11/04/2019	 	 	 ['Có cửa sổ', 'Có gác', 'Bếp', 'Chỗ để xe']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-ban-nu-thue-phong-tro-khu-dan-cu-binh-hung-gan-ben-xe-quan-8-pr128896.html	 số 1 Đường số 18, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh	 2.3 triệu/tháng	 25	 08/04/2019	 06/04/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Có cửa sổ', 'Internet tốc độ cao', 'Bếp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-day-du-tien-nghi-chi-vao-o-pr126855.html	 Đường Nguyễn Thị Tú, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh	 2.5 triệu/tháng	 20	 23/03/2019	 20/03/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Chỗ để xe', 'Ban công']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-moi-xay-huyen-binh-chanh-sach-se-thoang-mat-pr125798.html	 Đường Trần Văn Giàu, Xã Lê Minh Xuân, Huyện Bình Chánh, Hồ Chí Minh	 2 triệu/tháng	 21	 18/03/2019	 11/03/2019	 ['Người đi làm', 'Gia đình']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Bếp', 'Sân phơi']	 3.500 đồng/Kwh	 15.000 đồng/m3	 	 Thỏa thuận	 
https://bds123.vn/phong-trong-chung-cu-hanh-phuc-binh-chanh-dt-20m2-gia-2-trieu-thang-lh-0989779092-pr125140.html	 Đường Nguyễn Văn Linh, Huyện Bình Chánh, Hồ Chí Minh	 2 triệu/tháng	 20	 12/03/2019	 07/03/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-thoang-mat-co-may-lanh-noi-de-xe-day-du-pr123965.html	 13 Đường số 10, Huyện Bình Chánh, Hồ Chí Minh	 Thỏa thuận	 30	 01/03/2019	 26/02/2019	 ['Người đi làm', 'Sinh viên']	 Nam	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Điều hòa']	 3.500 đồng/Kwh	 6.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/can-cho-thue-phong-yen-tinh-binh-chanh-dt-20m2-gia-5-trieu-thang-lh-0777418484-pr123678.html	 44 Đường số 6, Huyện Bình Chánh, Hồ Chí Minh	 5 triệu/tháng	 20	 25/02/2019	 22/02/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Sân phơi']	 3.500 đồng/Kwh	 100.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-gia-1tr3-gan-uy-ban-xa-vinh-loc-b-huyen-binh-chanh-l-h-0904386029-co-no-pr123582.html	 Đường Vĩnh Lộc B, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh	 1.3 triệu/tháng	 20	 24/02/2019	 21/02/2019	 ['Sinh viên']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Internet tốc độ cao']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-uy-ban-xa-vinh-loc-b-re-dep-pr123532.html	 Đường Vĩnh Lộc B, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh	 1.3 triệu/tháng	 20	 23/02/2019	 20/02/2019	 	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/trong-phong-can-cho-thue-dt-135m2-ap-1-vinh-loc-a-binh-chanh-gia-16-trieu-thang-pr123443.html	 Xã Vĩnh Lộc A, Huyện Bình Chánh, Hồ Chí Minh	 1.6 triệu/tháng	 13	 21/02/2019	 18/02/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe']	 	 Miễn phí	 	 Thỏa thuận	 
