url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/nha-cho-thue-ngay-nguyen-xi-va-no-trang-long-pr150350.html	 311/2/17 Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, Hồ Chí Minh	 4.5 triệu/tháng	 35	 02/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 20.000 đồng/m3	 70.000 đồng	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-binh-thanh-phong-rong-sach-se-pr158487.html	 47/42/27/6 Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, Hồ Chí Minh	 5 triệu/tháng	 60	 04/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 3.000 đồng/Kwh	 100.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/phong-rong-dep-co-gac-o-bach-dang-pr158759.html	 275 Đường Bạch Đằng, Phường 15, Quận Bình Thạnh, Hồ Chí Minh	 5 triệu/tháng	 25	 03/12/2019	 30/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Chỗ để xe']	 3.500 đồng/Kwh	 100.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-thanh-da-p27-cao-thoang-rong-cuc-an-ninh-gac-bep-nvs-pr158212.html	 18/8 Đường Thanh Đa, Phường 27, Quận Bình Thạnh, Hồ Chí Minh	 3.5 triệu/tháng	 20	 02/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Công viên', 'Sân phơi']	 3.500 đồng/Kwh	 25 đồng/người	 50 đồng	 Thỏa thuận	 Sau 24h
https://bds123.vn/ky-tuc-xa-cao-cap-tien-nghi-duong-binh-loi-binh-thanh-gan-cau-binh-loi-pr156345.html	 278/15 Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Hồ Chí Minh	 1.6 triệu/tháng	 30	 02/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Gym', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-gia-re-gan-dh-van-lang-cs3-free-goi-xe-tet-uu-dai-lon-t11-pr158575.html	 299/33/22 Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Hồ Chí Minh	 2.4 triệu/tháng	 20	 04/12/2019	 01/12/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-may-lanh-33tr-35tr-thoang-mat-ngay-chu-van-an-binh-thanh-pr127914.html	 253 Đường Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh	 3.1 triệu/tháng	 25	 03/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Internet tốc độ cao', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/khuyen-mai-cuoi-nam-cuc-soc-tang-ngay-1000000d-khi-thue-phong-o-thanh-da-binh-thanh-pr155718.html	 765/54/19 Đường Tầm Vu, Phường 26, Quận Bình Thạnh, Hồ Chí Minh	 6.5 triệu/tháng	 25	 02/12/2019	 01/12/2019	 ['Người đi làm']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp']	 3.700 đồng/Kwh	 100.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/phong-du-tien-nghi-moi-giap-quan-1-co-bep-bao-ve-gio-giac-tu-do-san-vuon-dt20m2-gia-5tr-thang-pr158376.html	 44 Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Hồ Chí Minh	 5 triệu/tháng	 20	 01/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-tang-1-hem-xe-hoi-nguyen-hong-quan-binh-thanh-85-tr-pr156977.html	 66 Đường Nguyên Hồng, Phường 11, Quận Bình Thạnh, Hồ Chí Minh	 8.5 triệu/tháng	 78	 02/12/2019	 01/12/2019	 	 	 []	 	 	 	 Thỏa thuận	 
