url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/cho-thue-phong-tro-gio-giac-tu-do-60-26-duong-binh-tri-dong-dat-moi-cu-gia-17-tr-den-19-tr-thang-pr119696.html	 Đường Đất Mới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 1.9 triệu/tháng	 20	 05/12/2019	 01/12/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/nha-tro-moi-xay-gio-tu-do-43-3-duong-truong-phuoc-phan-quan-binh-tan-pr118126.html	 43/3 Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 2.3 triệu/tháng	 20	 02/12/2019	 01/12/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-sach-se-gia-re-56-7-8-truong-phuoc-phan-quan-binh-tan-pr120316.html	 56/7/8 Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 1.8 triệu/tháng	 20	 30/11/2019	 29/11/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-binh-tan-vang-dai-trong-gan-nha-tho-phalo-pr153135.html	 19 Đường số 12, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh	 2.5 triệu/tháng	 20	 27/11/2019	 26/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Ban công']	 4.000 đồng/Kwh	 100.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-can-biet-thu-kdc-khang-an-binh-tan-pr156988.html	 96 Đường Trần Đại Nghĩa, Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh	 1.5 triệu/tháng	 15	 23/11/2019	 23/11/2019	 	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Internet tốc độ cao', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-25m2-mieu-binh-dong-qbtantoiet-rieng-may-lanh-gio-giac-tu-do-pr156154.html	 108/27A Đường Miếu Bình Đông, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh	 2.7 triệu/tháng	 25	 19/11/2019	 18/11/2019	 ['Người đi làm', 'Gia đình']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-moi-dep-gia-chi-tu-800k-28tr-vui-long-lien-he-som-de-duoc-nhan-khuyen-mai-pr155799.html	 81/18A Đường số 14, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh	 799.000 đồng/tháng	 20	 17/11/2019	 17/11/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-gia-re-co-gac-131-6-1-40-13-tay-lan-q-binh-tan-pr142150.html	 131/6/1/40/13 Đường Tây Lân, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh	 1.5 triệu/tháng	 16	 17/11/2019	 16/11/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-cho-thue-gia-re-quan-binh-tan-pr154239.html	 225/29 Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 4.5 triệu/tháng	 45	 08/11/2019	 08/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 80.000 đồng/người	 70.000 đồng	 Thỏa thuận	 
https://bds123.vn/phong-tro-cao-cap-cho-thue-gia-re-pr154211.html	 225/29 Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 4.5 triệu/tháng	 45	 07/11/2019	 07/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 80.000 đồng/người	 70.000 đồng	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-chinh-chu-gia-uu-dai-45m2-duong-le-van-quoi-pr154061.html	 225/27/12 Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 4 triệu/tháng	 45	 06/11/2019	 06/11/2019	 ['Gia đình', 'Sinh viên']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Chỗ để xe', 'Ban công']	 3.500 đồng/Kwh	 20 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-gia-sieu-re-45m2-quan-binh-tan-pr154044.html	 225/27 Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 4 triệu/tháng	 45	 06/11/2019	 06/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Tủ quần áo', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Ban công']	 3.500 đồng/Kwh	 20 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-chinh-chu-cho-thue-quan-binh-tan-pr153730.html	 225/29 Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 4.5 triệu/tháng	 45	 05/11/2019	 05/11/2019	 ['Tất cả']	 	 ['Không chung chủ', 'Có camera', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Ban công']	 3.500 đồng/Kwh	 80.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/chinh-chu-cho-thue-phong-tro-cao-cap-full-noi-that-q-bt-pr153540.html	 225 Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 4 triệu/tháng	 45	 04/11/2019	 04/11/2019	 ['Tất cả']	 	 ['Không chung chủ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Ban công']	 3.500 đồng/Kwh	 80.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-cao-cap-full-noi-that-nga-tu-4-xa-quan-binh-tan-pr153448.html	 225/27 Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 4 triệu/tháng	 45	 03/11/2019	 03/11/2019	 	 	 ['Không chung chủ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Chỗ để xe', 'Ban công']	 3.500 đồng/Kwh	 80.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/chinh-chu-cho-thue-phong-tro-cao-cap-ngay-nga-4-bon-xa-pr152974.html	 225/27 Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 4 triệu/tháng	 45	 30/10/2019	 30/10/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 	 20 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/phong-cho-thue-full-noi-that-co-ban-cong-thoang-mat-pr124756.html	 413/11 Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh	 3.5 triệu/tháng	 32	 16/10/2019	 15/10/2019	 	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Giường ngủ', 'Tủ quần áo', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 100.000 đồng/người	 50.000 đồng	 Thỏa thuận	 
https://bds123.vn/cho-thue-can-ho-cao-cap-binh-tan-45m2-4tr5-pr149637.html	 225/27 Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh	 4.5 triệu/tháng	 45	 09/10/2019	 09/10/2019	 ['Người đi làm', 'Gia đình']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 50.000 đồng/người	 70.000 đồng	 Thỏa thuận	 
https://bds123.vn/phong-tro-tai-427-10-le-van-quoi-qbinh-tan-pr148817.html	 427/10 Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh	 2 triệu/tháng	 20	 04/10/2019	 04/10/2019	 	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe']	 3.000 đồng/Kwh	 20.000 đồng/người	 	 Thỏa thuận	 
