url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/con-phong-trong-tai-296-tay-thanh-quan-tan-phu-dt-rong-tu-28m2-gia-39-trieu-thang-pr115424.html	 296 Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh	 3.9 triệu/tháng	 30	 29/09/2018	 19/09/2018	 ['Người đi làm', 'Sinh viên']	 	 ['Không chung chủ', 'Điều hòa', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Tủ quần áo', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 	 	 Từng tháng	 
https://bds123.vn/can-cho-thue-phong-tro-tai-hem-273-nguyen-van-dau-dt-26m2-gia-42-trieu-thang-pr116331.html	 273/42/39 Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh	 4.2 triệu/tháng	 26	 14/10/2018	 09/10/2018	 ['Người đi làm', 'Sinh viên']	 	 ['Không chung chủ', 'Điều hòa', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Sân phơi']	 	 	 	 Từng tháng	 
https://bds123.vn/cho-thue-phong-day-du-tien-nghi-o-le-hong-phong-quan-10-pr131833.html	 370 Đường Lê Hồng Phong, Phường 2, Quận 10, Hồ Chí Minh	 4 triệu/tháng	 20	 25/05/2019	 20/05/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Gym', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 100.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/can-cho-thue-phong-rong-an-ninh-dt-16m2-gia-3-trieu-thang-d-c-ly-thuong-kiet-quan-10-pr119332.html	 Đường Lý Thường Kiệt, Phường 7, Quận 10, Hồ Chí Minh	 3 triệu/tháng	 16	 26/11/2018	 23/11/2018	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Không chung chủ', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Sân phơi']	 	 	 	 Từng tháng	 
https://bds123.vn/can-cho-thue-phong-tro-cao-cap-moi-xay-gan-cho-pham-van-hai-chi-3-7-tr-th-pr843.html	 Đường Phạm Văn Hai, Phường 1, Quận Tân Bình, Hồ Chí Minh	 3.7 triệu/tháng	 25	 08/04/2017	 29/03/2017	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-3-trieu-day-du-tien-nghi-binh-thanh-dien-bien-phu-pr148786.html	 598 Đường Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Hồ Chí Minh	 3 triệu/tháng	 25	 04/10/2019	 04/10/2019	 	 	 ['Có cửa sổ', 'Có bảo vệ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Sân phơi']	 31 đồng/Kwh	 70 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-tai-pho-ly-thuong-kiet-quan-10-gia-65-trth-lh-0914579786-pr101120.html	 Phố Lý Thường Kiệt, Quận 11, Hồ Chí Minh	 6.5 triệu/tháng	 30	 11/05/2017	 08/05/2017	 	 	 ['Không chung chủ', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Ban công']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-rong-10m2-gia-18-trieu-thang-dc-457-41-cach-mang-thang-tam-quan-10-pr122292.html	 457/41 Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh	 1.8 triệu/tháng	 10	 21/01/2019	 18/01/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Không chung chủ', 'Máy giặt', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-cho-thue-tai-36-16-7-duong-16-plinh-dong-qthu-duc-gia-25tr-lh-0975499312-pr113967.html	 36/16/7 Đường số 16, Phường Linh Đông, Quận Thủ Đức, Hồ Chí Minh	 2.5 triệu/tháng	 28	 07/09/2018	 28/08/2018	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/minh-can-2-nu-o-chung-phong-co-gac-tai-1-tan-thanh-quan-tan-phu-dt-20m2-gia-1-trieu-thang-pr117322.html	 1 Đường Tân Thành, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh	 1 triệu/tháng	 20	 29/10/2018	 24/10/2018	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Không chung chủ', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Tủ quần áo', 'Chỗ để xe', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 Miễn phí	 Từng tháng	 
