url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/phong-cho-thue-nhu-can-ho-mini-rat-dep-ngay-mt-phan-dang-luu-p5-qphu-nhuan-dt-35m2-co-thang-may-pr129479.html	 140 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh	 2.6 triệu/tháng	 20	 03/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 100.000 đồng	 Thỏa thuận	 Sau 24h
https://bds123.vn/phong-cho-thue-ngay-truong-dai-hoc-cong-nghe-4-pr124727.html	 300 Đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, Hồ Chí Minh	 4 triệu/tháng	 32	 02/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-cao-cap-voi-gia-thuong-yeu-re-nhat-khu-go-vap-phong-30m2-35m2-40m2-85m2-90m2-gia-35trieu-4trieu-45trieu-phong-pr158417.html	 21/4 Đường Lê Hoàng Phái, Phường 17, Quận Gò Vấp, Hồ Chí Minh	 3.5 triệu/tháng	 30	 01/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Gym', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 100.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-dep-co-noi-that-co-ban-cong-hxh-205-pham-van-chieu-p14-qgo-vap-dt-20m2-gia-25-trieu-3-trieu-pr134187.html	 205/41/34 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh	 2.6 triệu/tháng	 20	 05/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Không chung chủ', 'Có camera', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70 đồng/người	 100 đồng	 Thỏa thuận	 
https://bds123.vn/phong-may-lanh-khong-chung-chu-ngay-hanh-thong-tay-pr152029.html	 656/68/81 Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh	 2.8 triệu/tháng	 20	 06/12/2019	 01/12/2019	 	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Ban công']	 3.500 đồng/Kwh	 60.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/phong-can-ho-dich-vu-cho-thue-khu-biet-thu-hxh-pham-van-chieu-p14-qgo-vap-gia-27-tr-35-trieu-pr139396.html	 140 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh	 2.6 triệu/tháng	 25	 03/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 80.000 đồng	 Thỏa thuận	 
https://bds123.vn/phong-cho-thue-quan-go-vap-giap-binh-thanh-gan-ga-nuong-anh-tu-pr158399.html	 Phường 1, Quận Gò Vấp, Hồ Chí Minh	 3 triệu/tháng	 15	 03/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Không chung chủ', 'Máy giặt', 'Internet tốc độ cao', 'Bếp', 'Giường ngủ', 'Truyền hình cáp']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-moi-100-co-ban-cong-wc-rieng-gan-nga-tu-vo-van-kiet-an-duong-vuong-q8-gia-25-tr-th-pr120747.html	 95 Đường số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh	 2.5 triệu/tháng	 25	 04/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Truyền hình cáp']	 3.500 đồng/Kwh	 100.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/phong-hop-gia-re-co-may-lanh-dien-nuoc-free-pr134355.html	 405/2D Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh	 1.45 triệu/tháng	 7	 01/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 Miễn phí	 Miễn phí	 	 Thỏa thuận	 Sau 23h
https://bds123.vn/cho-thue-phong-sieu-dep-co-ban-cong-noi-that-trong-biet-thu-hxh-111-pham-van-chieu-p14-qgo-vap-pr138945.html	 111 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh	 2.6 triệu/tháng	 22	 05/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Sàn gỗ', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/phong-cao-cap-day-du-noi-that-p10-phan-van-tri-go-vap-pr157907.html	 18 Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Hồ Chí Minh	 6 triệu/tháng	 42	 30/11/2019	 30/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-ktx-dai-han-pr151325.html	 1180/23 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh	 1.5 triệu/tháng	 30	 01/12/2019	 30/11/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-moi-xay-xong-rong-va-thoang-sat-cong-dh-van-lang-cs3-p5-go-vap-pr158476.html	 80/60 Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh	 2.8 triệu/tháng	 20	 03/12/2019	 30/11/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-cao-cap-moi-xay-100-gio-giac-tu-do-123-tran-ba-giao-go-vap-pr148936.html	 123 Đường Trần Bá Giao, Phường 5, Quận Gò Vấp, Hồ Chí Minh	 3.2 triệu/tháng	 18	 04/12/2019	 30/11/2019	 	 	 ['Có cửa sổ', 'Có bảo vệ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Dịch vụ vệ sinh']	 3.500 đồng/Kwh	 80.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
