url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/cho-thue-phong-20m2-duong-to-ky-gan-nga-3-pham-thi-giay-pr135143.html	 47/1B Đường Tô Ký, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh	 2.5 triệu/tháng	 20	 28/11/2019	 27/11/2019	 ['Tất cả']	 	 ['Không chung chủ', 'Điều hòa', 'Chỗ để xe', 'Ban công']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-nu-thue-phong-moi-100-duoc-su-dung-nha-nguyen-can-pr134262.html	 66/12k Đường Xuân Thới Thượng 31, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh	 2 triệu/tháng	 9	 16/06/2019	 11/06/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe']	 	 	 	 Thỏa thuận	 Sau 22h
https://bds123.vn/phong-tro-cho-thue-mat-tien-duong-nguyen-thi-thu-pr125856.html	 Đường Nguyễn Thị Thử, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh	 1.3 triệu/tháng	 20	 16/05/2019	 11/05/2019	 ['Người đi làm']	 Nữ	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Internet tốc độ cao']	 3.000 đồng/Kwh	 15.000 đồng/m3	 	 Thỏa thuận	 Sau 22h
https://bds123.vn/cho-thue-phong-tro-khu-vuc-an-suong-pr127207.html	 45/8b ấp Đông Lân , xã Bà Điểm , huyện Hốc Môn Đường Bà Điểm, Phường Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh	 1.2 triệu/tháng	 15	 25/03/2019	 20/03/2019	 ['Người đi làm', 'Gia đình']	 	 []	 2.500 đồng/Kwh	 6.000 đồng/m3	 	 Thỏa thuận	 
https://bds123.vn/phong-cho-moi-xay-nga-tu-an-suong-gia-19tr-pr123823.html	 Đường Hậu Lân, Phường Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh	 1.9 triệu/tháng	 16	 27/02/2019	 25/02/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Sàn gỗ', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Truyền hình cáp', 'Sân phơi']	 3.000 đồng/Kwh	 20.000 đồng/người	 	 Thỏa thuận	 Sau 23h
https://bds123.vn/cho-thue-phong-gia-re-huyen-hoc-mon-dt-25m2-gia-12-trieu-thang-lh-0917777774-pr122992.html	 12 Đường Nguyễn Thị Sóc, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh	 1.2 triệu/tháng	 25	 03/02/2019	 01/02/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-chinh-chu-dt-26m2-co-gac-gia-12-trieu-thang-dc-3-377f-ap-nhat-tan-pr122165.html	 Xã Tân Thới Nhì, Huyện Hóc Môn, Hồ Chí Minh	 1.2 triệu/tháng	 26	 19/01/2019	 16/01/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-moi-xay-huyen-hoc-mon-pr120041.html	 Đường Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh	 1.5 triệu/tháng	 12	 10/12/2018	 07/12/2018	 ['Tất cả']	 	 ['Có gác', 'Không chung chủ', 'Bếp']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-gia-re-huyen-hoc-mon-dt-15m2-gia-15-trieu-thang-lh-0963244355-pr114859.html	 Xã Xuân Thới Đông, Huyện Hóc Môn, Hồ Chí Minh	 1.5 triệu/tháng	 15	 22/09/2018	 19/09/2018	 ['Người đi làm', 'Sinh viên']	 	 ['Không chung chủ', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 3.000 đồng/Kwh	 30.000 đồng/người	 	 Từng tháng	 
https://bds123.vn/con-phong-trong-rong-16m2-huyen-hoc-mon-gia-13-trieu-thang-lhcc-pr111358.html	 4/7C Đường Xuân Thới Đông 1, Xã Xuân Thới Đông, Huyện Hóc Môn, Hồ Chí Minh	 1.3 triệu/tháng	 16	 17/07/2018	 07/07/2018	 ['Người đi làm', 'Gia đình']	 	 ['Không chung chủ', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 	 	 	 Từng tháng	 
https://bds123.vn/phong-tro-gia-re-huyen-hoc-mon-dt-16m2-gia-900-nghin-thang-pr111221.html	 117/2 Đường Phan Văn Hớn, Phường Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh	 900.000 đồng/tháng	 16	 14/07/2018	 04/07/2018	 	 	 ['Không chung chủ', 'Bếp', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 	 	 	 Từng tháng	 
