url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/cho-thue-phong-chung-cu-an-tien-pr158691.html	 187a Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh	 3.3 triệu/tháng	 20	 05/12/2019	 01/12/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-cao-cap-huyen-nha-be-pr157896.html	 101 Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh	 2.5 triệu/tháng	 30	 30/11/2019	 30/11/2019	 ['Tất cả']	 	 ['Không chung chủ', 'Có bảo vệ', 'Có camera', 'Chỗ để xe', 'Công viên', 'Sân phơi']	 3.500 đồng/Kwh	 20.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/can-ho-mini-tien-nghi-tai-lang-dai-hoc-khu-b-30m2-34-3tr8-4tr-4tr6-pr156995.html	 1023/5 Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh	 3.4 triệu/tháng	 20	 30/11/2019	 30/11/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-moi-xay-sach-se-yen-tinh-gan-truong-va-cho-pr132967.html	 1040 Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh	 3.8 triệu/tháng	 40	 20/11/2019	 20/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Ti vi', 'Internet tốc độ cao', 'Bếp', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Ban công']	 3.000 đồng/Kwh	 15 đồng/người	 100 đồng	 Thỏa thuận	 
https://bds123.vn/phong-dep-rong-day-du-noi-that-gia-35-tr-th-hoang-anh-gold-house-lh-nhi-o98-607-3450-pr153893.html	 Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh	 3.5 triệu/tháng	 18	 17/11/2019	 16/11/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-dep-day-du-noi-that-35tr-thang-cc-hoang-anh-an-tien-pr125285.html	 187A Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh	 3.8 triệu/tháng	 20	 19/10/2019	 19/10/2019	 	 	 ['Có cửa sổ', 'Có bảo vệ', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Công viên', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-full-noi-that-co-ham-xe-nau-an-trong-can-biet-thu-gan-bv-nha-be-pr137878.html	 Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh	 3 triệu/tháng	 25	 15/10/2019	 14/10/2019	 ['Người đi làm', 'Gia đình']	 	 ['Có cửa sổ', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-cho-thue-18-24m2-thoang-mat-sach-se-pr148772.html	 1053/28 Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh	 2.5 triệu/tháng	 18	 03/10/2019	 03/10/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Ban công']	 3.500 đồng/Kwh	 20.000 đồng/người	 50.000 đồng	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-huyen-nha-be-25m2-an-ninh-khong-gian-mo-pr147880.html	 Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh	 3.5 triệu/tháng	 25	 28/09/2019	 28/09/2019	 ['Sinh viên']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Internet tốc độ cao', 'Dịch vụ vệ sinh', 'Chỗ để xe']	 3.500 đồng/Kwh	 100.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/nha-cho-thue-moi-xay-co-gac-rong-rai-thoang-mat-pr128299.html	 1038 Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh	 3.2 triệu/tháng	 32	 27/09/2019	 27/09/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Ban công']	 3.000 đồng/Kwh	 15 đồng/người	 50 đồng	 Thỏa thuận	 
