url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/can-ho-cho-thue-tien-nghi-chuan-khach-san-truong-cong-dinh-p14-qtan-binh-sat-etown-cong-hoa-pr128392.html	 68A Đường Phan Đăng Lưu, Phường 5, Quận Phú Nhuận, Hồ Chí Minh	 3 triệu/tháng	 22	 01/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-huynh-van-banh-qphu-nhuan-full-noi-that-an-ninh-sach-se-tu-do-pr158714.html	 Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh	 5 đồng/tháng	 24	 07/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 	 	 Thỏa thuận	 
https://bds123.vn/phong-trong-nha-nguyen-can-phu-nhuan-pr144280.html	 102/47 Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Hồ Chí Minh	 4 triệu/tháng	 25	 03/12/2019	 30/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Tủ quần áo', 'Bàn làm việc', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tot-cho-nu-thue-25trieu-thang-phan-xich-long-wifildr-wcr-pr123381.html	 446/1-B Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Hồ Chí Minh	 2.6 triệu/tháng	 18	 05/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Không chung chủ', 'Internet tốc độ cao', 'Bếp', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 50.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-day-du-tien-nghi-trung-tam-pho-pr158385.html	 40 Đường Hoa Huệ, Phường 7, Quận Phú Nhuận, Hồ Chí Minh	 5 triệu/tháng	 22	 03/12/2019	 01/12/2019	 ['Người đi làm']	 Nữ	 ['Có cửa sổ', 'Máy giặt', 'Điều hòa', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Gym', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 100.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-20m2-quan-phu-nhuan-pr157764.html	 100/3b Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Hồ Chí Minh	 3.8 triệu/tháng	 20	 05/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Máy giặt', 'Tủ lạnh', 'Internet tốc độ cao', 'Giường ngủ']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-ban-cong-mat-me-gan-truong-sa-q-tan-binh-pr149796.html	 247/11, BÙI THỊ XUÂN, P1, Q TÂN BÌNH (GẦN PHẠM VĂN HAI, LÊ VĂN SỸ 100M) Đường Trường Sa, Phường 1, Quận Phú Nhuận, Hồ Chí Minh	 2.6 triệu/tháng	 18	 02/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Internet tốc độ cao', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-mini-dep-thoang-mat-full-noi-that-mat-tien-truong-sa-sat-quan-1-pr124831.html	 680 Đường Trường Sa, Phường 17, Quận Phú Nhuận, Hồ Chí Minh	 3 triệu/tháng	 20	 01/12/2019	 01/12/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-cho-thue-25m2-quan-phu-nhuan-53tr-thang-pr157939.html	 Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Hồ Chí Minh	 5.3 triệu/tháng	 25	 01/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Điều hòa', 'Internet tốc độ cao', 'Chỗ để xe']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-30m2-ban-cong-thoang-mat-gan-cong-vien-hoang-van-thu-pr139508.html	 Đường Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, Hồ Chí Minh	 3.9 triệu/tháng	 30	 03/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Tủ quần áo', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
