url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/phong-tro-tien-nghi-100m-ra-pham-van-dong-gio-giac-tu-do-gia-35tr-thang-lh-0704458461-pr150911.html	 Đường số 37, Phường Linh Đông, Quận Thủ Đức, Hồ Chí Minh	 3.5 triệu/tháng	 25	 07/12/2019	 01/12/2019	 	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Giường ngủ', 'Sàn gỗ', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 	 Miễn phí	 	 Thỏa thuận	 
https://bds123.vn/ky-tuc-xa-full-noi-that-danh-cho-nu-thue-thu-duc-pr158198.html	 3/23 Đường số 10, Phường Linh Trung, Quận Thủ Đức, Hồ Chí Minh	 1.5 triệu/tháng	 30	 12/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Truyền hình cáp', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tro-trong-nha-nguyen-can-gan-dhcsnd-pr158624.html	 Đường số 7, Phường Linh Tây, Quận Thủ Đức, Hồ Chí Minh	 2 triệu/tháng	 15	 29/12/2019	 30/11/2019	 ['Sinh viên']	 	 ['Có cửa sổ', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Đệm', 'Chỗ để xe']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-gia-re-co-gac-gan-cau-vuot-linh-xuan-thu-duc-pr151246.html	 34 Đường số 4, Phường Linh Trung, Quận Thủ Đức, Hồ Chí Minh	 2.2 triệu/tháng	 30	 04/12/2019	 01/12/2019	 	 	 []	 3.000 đồng/Kwh	 8.000 đồng/m3	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/phong-moi-co-may-lanh-free-cho-goi-xe-tet-uu-dai-lon-hom-nay-pr158230.html	 22 Đường số 3, Phường Hiệp Bình Phước, Quận Thủ Đức, Hồ Chí Minh	 3.2 triệu/tháng	 30	 02/12/2019	 01/12/2019	 	 	 []	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-thu-duc-thoang-mat-ban-cong-rieng-gio-tu-do-bao-ve-24-24-pr157728.html	 63/3C1 đường 36 Đường số 36, Phường Linh Đông, Quận Thủ Đức, Hồ Chí Minh	 3.3 triệu/tháng	 25	 29/11/2019	 29/11/2019	 ['Tất cả']	 	 ['Không chung chủ', 'Có camera', 'Điều hòa', 'Chỗ để xe', 'Công viên', 'Ban công']	 3.800 đồng/Kwh	 70.000 đồng/người	 50.000 đồng	 Thỏa thuận	 
https://bds123.vn/nha-tro-thu-duc-moi-xay-co-gac-gio-tu-do-bao-ve-24-24-pr157727.html	 Phường Linh Đông, Quận Thủ Đức, Hồ Chí Minh	 3.5 triệu/tháng	 25	 29/11/2019	 29/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Công viên', 'Sân phơi']	 3.500 đồng/Kwh	 17.000 đồng/m3	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/ky-tuc-xa-full-noi-that-duong-hoang-dieu-2-thu-duc-pr157679.html	 3/23 Đường số 10, Phường Linh Trung, Quận Thủ Đức, Hồ Chí Minh	 1.5 triệu/tháng	 25	 28/11/2019	 28/11/2019	 ['Tất cả']	 Nữ	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/ky-tuc-xa-nu-cao-cap-dep-an-ninh-du-tien-nghi-pr153719.html	 39A Đường số 18, Phường Linh Trung, Quận Thủ Đức, Hồ Chí Minh	 1.4 triệu/tháng	 25	 15/11/2019	 15/11/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Truyền hình cáp', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-thu-duc-1tr7-don-vo-lien-duoc-pr154681.html	 Ai quan tâm gọi chủ nhà 0783586078 để biết địa chỉ chính xác Đường Tỉnh lộ 43, Phường Bình Chiểu, Quận Thủ Đức, Hồ Chí Minh	 1.7 triệu/tháng	 25	 10/11/2019	 10/11/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Có gác', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.000 đồng/Kwh	 8.000 đồng/m3	 50.000 đồng	 Thỏa thuận	 
