url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/phong-cho-thue-nhu-can-ho-dich-vu-day-du-noi-that-dt-30m2-qtan-binh-sat-etown-cong-hoa-pr143882.html	 62/1A Đường Trương Công Định, Phường 14, Quận Tân Bình, Hồ Chí Minh	 5 triệu/tháng	 30	 01/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-tai-152-nguyen-thai-binh-tan-binh-pr158104.html	 152 Đường Nguyễn Thái Bình, Phường 12, Quận Tân Bình, Hồ Chí Minh	 1.5 triệu/tháng	 20	 06/12/2019	 30/11/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Có cửa sổ', 'Có camera', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-cao-cap-moi-xay-100-pr124641.html	 238 Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Hồ Chí Minh	 3.5 triệu/tháng	 28	 02/12/2019	 30/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Dịch vụ vệ sinh', 'Gym', 'Chỗ để xe', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 100.000 đồng/người	 70.000 đồng	 Thỏa thuận	 
https://bds123.vn/cho-thue-can-ho-dich-vu-day-du-noi-that-dt-40m2-1pn-pk-canh-etown-cong-hoa-nga-tu-bay-hien-pr122713.html	 62/1A-B Đường Trương Công Định, Phường 14, Quận Tân Bình, Hồ Chí Minh	 5 triệu/tháng	 30	 04/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/phong-dep-cho-thue-7a-9-thanh-thai-quan-10-dt-30m2-co-giuong-ke-bep-cua-so-pr144839.html	 Quận Tân Bình, Hồ Chí Minh	 3 triệu/tháng	 20	 02/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Bếp', 'Giường ngủ', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 	 Thỏa thuận	 Sau 24h
https://bds123.vn/phong-tro-ngay-goc-truong-sa-ut-tich-pr152030.html	 49/1 Đường Hoàng Việt, Phường 4, Quận Tân Bình, Hồ Chí Minh	 3.5 triệu/tháng	 20	 05/12/2019	 01/12/2019	 	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Internet tốc độ cao', 'Bếp', 'Tủ quần áo', 'Chỗ để xe', 'Công viên', 'Sân phơi']	 4.000 đồng/Kwh	 100.000 đồng/người	 	 Thỏa thuận	 
https://bds123.vn/phong-lon-tien-nghi-ban-cong-thoang-mat-ngay-thang-long-cong-hoa-pr156826.html	 20a GIẢI PHÓNG, P4, Q TÂN BÌNH (gần cv HOÀNG VĂN THỤ 200M) Đường Thăng Long, Phường 1, Quận Tân Bình, Hồ Chí Minh	 3.9 triệu/tháng	 35	 06/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Tủ quần áo', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-dep-ngay-lotte-cong-hoa-hoang-hoa-tham-k300-full-noi-that-gia-tu-5-tr-7tr-thang-lh-0981648018-pr139964.html	 76B Đường Lê Trung Nghĩa, Phường 12, Quận Tân Bình, Hồ Chí Minh	 4.2 triệu/tháng	 25	 10/12/2019	 01/12/2019	 ['Người đi làm', 'Gia đình']	 	 ['Có cửa sổ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 100.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/phong-tro-tan-binh-gan-bach-khoa-bay-hien-pr157486.html	 164 Đường Nguyễn Bá Tòng, Phường 11, Quận Tân Bình, Hồ Chí Minh	 2.5 triệu/tháng	 15	 03/12/2019	 01/12/2019	 	 	 ['Có gác', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Bếp', 'Dịch vụ vệ sinh', 'Chỗ để xe']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-full-tien-nghi-3-trieu-cach-5km-den-trung-tam-pr157186.html	 Đường Trường Sa, Phường 3, Quận Tân Bình, Hồ Chí Minh	 3 triệu/tháng	 50	 03/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 Nữ	 ['Có cửa sổ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Gym', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-full-noi-that-co-ban-cong-30m-o-tan-binh-pr131071.html	 108/22/13a Đường Cộng Hòa, Phường 4, Quận Tân Bình, Hồ Chí Minh	 4 triệu/tháng	 30	 02/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 100.000 đồng/người	 100.000 đồng	 Thỏa thuận	 Sau 24h
https://bds123.vn/cho-thue-phong-tro-gan-cong-vien-le-thi-rieng-full-noi-that-wc-rieng-gio-giac-tu-do-pr158700.html	 10 Đường Khai Trí, Phường 6, Quận Tân Bình, Hồ Chí Minh	 4.3 triệu/tháng	 25	 05/12/2019	 01/12/2019	 	 	 []	 3.500 đồng/Kwh	 100.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
