url	 address	 price	 size	 exprire_data	 update_date	 object	 sex	 amenities	 electric_price	 water_price	 internet_price	 payment_method	 close_time
https://bds123.vn/cho-thue-phong-dep-co-gac-lung-ban-cong-du-tien-nghi-mt-duong-truong-chinh-tan-son-nhi-dt-16-25m2-co-thang-may-pr128705.html	 26/42 Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh	 2.7 triệu/tháng	 20	 03/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Truyền hình cáp', 'Ban công']	 3.500 đồng/Kwh	 70.000 đồng/người	 70.000 đồng	 Thỏa thuận	 Sau 24h
https://bds123.vn/phong-tro-dang-xay-3-ngay-nua-xong-rat-rong-va-dep-co-gac-xe-free-pr156547.html	 29 Đường Nguyễn Đỗ Cung, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh	 2.4 triệu/tháng	 30	 02/12/2019	 30/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Công viên']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-moi-xay-rat-dep-co-gac-lung-ke-bep-gio-tu-do-co-li-xi-tet-500k-pr121457.html	 381 Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh	 2.4 triệu/tháng	 25	 02/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-tro-ngay-nga-tu-lac-long-quan-au-co-pr158218.html	 345/52 Đường Âu Cơ, Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh	 2.2 triệu/tháng	 25	 02/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Có cửa sổ', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Ban công']	 3.000 đồng/Kwh	 50.000 đồng/người	 100.000 đồng	 Thỏa thuận	 Sau 23h
https://bds123.vn/phong-tro-moi-xay-dep-nhu-khach-san-day-du-noi-that-gio-giac-tu-do-gan-aeon-mall-pr124888.html	 244 Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh	 2.7 triệu/tháng	 25	 02/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Tủ lạnh', 'Ti vi', 'Internet tốc độ cao', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/phong-dep-cho-thue-mt-truong-chinh-dt-22-40m2-du-tien-nghi-sat-etown-cong-hoa-co-gac-lung-pr122266.html	 26/42 Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh	 3 triệu/tháng	 22	 01/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 100.000 đồng	 Thỏa thuận	 Sau 24h
https://bds123.vn/phong-dep-cho-thue-mat-tien-68a-phan-dang-luu-p5-qphu-nhuan-dt-20m2-co-thang-may-gia-3-trieu-pr133118.html	 26/42 Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh	 4.5 triệu/tháng	 35	 03/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Giường ngủ', 'Tủ quần áo', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 100.000 đồng	 Thỏa thuận	 Sau 24h
https://bds123.vn/phong-cho-thue-mt-29-bau-cat-6-dt-16m2-gia-chi-2-trieu-ngay-cho-va-cong-vien-bau-cat-pr156102.html	 Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh	 2.5 triệu/tháng	 20	 06/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 	 ['Không chung chủ', 'Có camera', 'Internet tốc độ cao', 'Bếp', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp']	 3.500 đồng/Kwh	 70.000 đồng/người	 100.000 đồng	 Thỏa thuận	 Sau 24h
https://bds123.vn/can-ho-cho-thue-du-tien-nghi-chuan-khach-san-mt-truong-chinh-1pn-1pk-co-ban-cong-thang-may-pr122262.html	 26/42 Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú. Đường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh	 2.5 triệu/tháng	 22	 02/12/2019	 01/12/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Internet tốc độ cao', 'Bếp', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 70.000 đồng/người	 100.000 đồng	 Thỏa thuận	 Sau 24h
https://bds123.vn/phong-homestay-ktx-cao-cap-sinh-vien-van-phong-phong-may-lanh-bao-dien-nuoc-net-pr149260.html	 Hẻm 304 Đường Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh	 1.2 triệu/tháng	 30	 05/12/2019	 01/12/2019	 ['Người đi làm', 'Sinh viên']	 Nam	 ['Có cửa sổ', 'Có camera', 'Điều hòa', 'Tủ lạnh', 'Internet tốc độ cao', 'Bếp', 'Đệm', 'Giường ngủ', 'Tủ quần áo', 'Sàn gỗ', 'Dịch vụ vệ sinh', 'Gym', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/cho-thue-phong-moi-xay-20m2-27-trieu-so-262-luy-ban-bich-q-tan-phu-pr124055.html	 262/13 Đường Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Hồ Chí Minh	 3 triệu/tháng	 20	 29/11/2019	 28/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Sân phơi']	 3.500 đồng/Kwh	 100.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/phong-tro-moi-tinh-con-mui-son-co-gac-may-lanh-gan-aeon-tan-phu-co-li-xi-tet-pr122204.html	 280 Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh	 2.4 triệu/tháng	 20	 27/11/2019	 26/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có camera', 'Điều hòa', 'Internet tốc độ cao', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Ban công', 'Sân phơi']	 	 	 	 Thỏa thuận	 
https://bds123.vn/can-ho-mini-cho-thue-co-tien-nghi-1pn-1pk-mt-truong-chinh-qtan-phu-co-thang-may-ban-cong-pr156302.html	 26/42 Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh	 4.5 triệu/tháng	 40	 26/11/2019	 26/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Giường ngủ', 'Tủ quần áo', 'Bàn làm việc', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công']	 3.500 đồng/Kwh	 70.000 đồng/người	 80.000 đồng	 Thỏa thuận	 Sau 24h
https://bds123.vn/phong-cho-thue-gio-giac-tu-doco-gacke-bep-nau-anbve-24-24-gia-tu-3tr-pr131062.html	 19/2/5b Đường Hoàng Xuân Nhị, Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh	 3 triệu/tháng	 20	 24/11/2019	 24/11/2019	 ['Tất cả']	 	 ['Có cửa sổ', 'Có gác', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Internet tốc độ cao', 'Bếp', 'Chỗ để xe', 'Ban công']	 3.700 đồng/Kwh	 100.000 đồng/người	 100.000 đồng	 Thỏa thuận	 
https://bds123.vn/tan-phu-phong-tro-cao-cap-co-may-lanh-thang-may-vv-pr156471.html	 221 Đường Lê Cao Lãng, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh	 2 triệu/tháng	 12	 21/11/2019	 21/11/2019	 	 	 ['Có cửa sổ', 'Không chung chủ', 'Có bảo vệ', 'Có camera', 'Máy giặt', 'Điều hòa', 'Nước nóng lạnh', 'Internet tốc độ cao', 'Bếp', 'Dịch vụ vệ sinh', 'Chỗ để xe', 'Công viên', 'Truyền hình cáp', 'Ban công', 'Sân phơi']	 3.500 đồng/Kwh	 60 đồng/người	 	 Thỏa thuận	 
